Artur Badalyan v. Pamela Bondi et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01401/1012220/15/	May 15, 2026	5:2026cv01401
Lexus Thomeka Ray v. City of Orange Police Dept et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv08456/943595/29/	May 15, 2026	2:2024cv08456
A.K.A. Brands Holding Corp. et al v. Bahari et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv00901/956205/265/	May 14, 2026	2:2025cv00901
Behzad Bolourchi v. Todd M. Lyons et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00791/1007254/20/	May 14, 2026	5:2026cv00791
Iuliia Pavlova v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01756/1014740/10/	May 13, 2026	5:2026cv01756
Naton Aviv Vernier-Candiotti v. Department of Conservation	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv09146/945769/84/	May 13, 2026	2:2024cv09146
Apple Valley Ridge Estates Homeowners Association v. Ashka Patel et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00922/1008480/19/	May 12, 2026	5:2026cv00922
Thomas Lavia et al v. The Standard Fire Insurance Company et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv03060/1011819/34/	May 12, 2026	2:2026cv03060
James Eugene Winn v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv00872/965387/22/	May 12, 2026	5:2025cv00872
Faraji Hamisi Teichmann v. Department of Homeland Security	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00390/1004595/27/	May 12, 2026	5:2026cv00390
Morning Star, LLC v. Keith B. Canter et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2022cv04973/857740/308/	May 11, 2026	2:2022cv04973
Grace Proudfoot et al v. Nissan North America, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv09115/988361/50/	May 11, 2026	2:2025cv09115
Jason Killinger v. United Parcel Service, Inc.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv01574/1006757/21/	May 11, 2026	2:2026cv01574
Assadourian v. Secretary of Homeland Security et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02184/1017543/15/	May 8, 2026	5:2026cv02184
Vivek Shah v. Capital One N.A.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2024cv07528/939847/89/	May 7, 2026	2:2024cv07528
DIVX, LLC v. Netflix, Inc.	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2019cv01602/738825/1197/	May 7, 2026	2:2019cv01602
Ricardo Yearwood v. Gifted Youth, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv11733/998893/32/	May 7, 2026	2:2025cv11733
Securities and Exchange Commission v. Robert Newell et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2024cv01524/934227/60/	May 7, 2026	5:2024cv01524
Natalie Haddad v. Circle K Stores, Inc. et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv00810/1007539/22/	May 7, 2026	5:2026cv00810
Anh Khanh Nguyen v. Unknown Warden	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02099/1017202/9/	May 7, 2026	5:2026cv02099
Efrain Sandoval-Arellano et al v. Markwayne Mullin et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv02100/1017114/10/	May 7, 2026	5:2026cv02100
The California Endowment v. Radnor Specialty Insurance Company	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06891/980842/33/	May 6, 2026	2:2025cv06891
Guy Lee West v. Costco Wholesale Corporation et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv11720/998849/15/	May 6, 2026	2:2025cv11720
J. Smith Corporation et al v. SAI Business Solutions, LLC et al	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2026cv02101/1008668/55/	May 6, 2026	2:2026cv02101
Winter Abrams v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02016/981780/16/	May 6, 2026	5:2025cv02016
Kacey Alexis Jordan v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv01125/969685/28/	May 6, 2026	5:2025cv01125
Winter Abrams v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02016/981780/17/	May 6, 2026	5:2025cv02016
The California Endowment v. Radnor Specialty Insurance Company	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv06891/980842/34/	May 6, 2026	2:2025cv06891
Emilio Santamaria v. Commissioner of Social Security	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv09799/990798/19/	May 6, 2026	2:2025cv09799
Cesar Tomas Avalos v. General Motors LLC	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv11434/997648/17/	May 6, 2026	2:2025cv11434
Milagro Beatriz Eraso-Saravia v. Warden of the Adelanto Ice Processing Center	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2026cv01321/1012812/10/	May 6, 2026	5:2026cv01321
Jason Lawrence Stava v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/5:2025cv02666/990308/21/	May 6, 2026	5:2025cv02666
Terry Ruth Sealey v. Frank Bisignano	https://law.justia.com/cases/federal/district-courts/california/cacdce/2:2025cv05800/976195/22/	May 6, 2026	2:2025cv05800
